*ref00000 09:58:09.32 +02:06:13.9
@ob00134 09:58:16.2313 +02:06:09.926 -2.0
@ob02907 09:58:16.3647 +02:06:13.926 -2.0
@ob00135 09:58:39.7192 +02:12:39.381 -2.0
@ob02908 09:58:39.8527 +02:12:43.381 -2.0
@ob00136 09:58:43.0262 +02:07:45.949 -2.0
@ob02909 09:58:43.1596 +02:07:49.949 -2.0
@ob00137 09:58:55.3643 +02:08:50.454 -2.0
@ob02910 09:58:55.4977 +02:08:54.454 -2.0
@ob00138 09:57:58.0819 +02:21:33.397 -2.0
@ob02911 09:57:58.2153 +02:21:37.397 -2.0
@ob00139 09:57:55.2138 +02:12:36.985 -2.0
@ob02912 09:57:55.3473 +02:12:40.985 -2.0
@ob00140 09:58:11.3368 +02:08:19.512 -2.0
@ob02913 09:58:11.4703 +02:08:23.512 -2.0
@ob00141 09:58:08.1168 +02:14:55.571 -2.0
@ob02914 09:58:08.2502 +02:14:59.571 -2.0
@ob00142 09:58:46.3767 +02:16:02.922 -2.0
@ob02915 09:58:46.5102 +02:16:06.922 -2.0
@ob00143 09:58:45.4337 +02:02:52.624 -2.0
@ob02916 09:58:45.5671 +02:02:56.624 -2.0
@ob00144 09:58:38.8250 +02:23:48.740 -2.0
@ob02917 09:58:38.9585 +02:23:52.740 -2.0
@ob00145 09:58:02.7062 +02:18:54.906 -2.0
@ob02918 09:58:02.8396 +02:18:58.906 -2.0
@ob00146 09:58:31.2841 +02:12:46.591 -2.0
@ob02919 09:58:31.4175 +02:12:50.591 -2.0
@ob00147 09:57:58.8082 +02:14:33.968 -2.0
@ob02920 09:57:58.9416 +02:14:37.968 -2.0
@ob00148 09:58:20.0903 +02:20:43.705 -2.0
@ob02921 09:58:20.2237 +02:20:47.705 -2.0
@ob00149 09:58:35.0488 +02:23:16.890 -2.0
@ob02922 09:58:35.1822 +02:23:20.890 -2.0
@ob00150 09:58:55.7838 +02:14:22.683 -2.0
@ob02923 09:58:55.9172 +02:14:26.683 -2.0
@ob00151 09:58:33.6980 +02:21:07.389 -2.0
@ob02924 09:58:33.8314 +02:21:11.389 -2.0
@ob00152 09:58:48.5952 +02:06:01.693 -2.0
@ob02925 09:58:48.7286 +02:06:05.693 -2.0
@ob00153 09:58:17.1973 +02:02:39.241 -2.0
@ob02926 09:58:17.3308 +02:02:43.241 -2.0
@ob00154 09:58:01.1757 +02:22:12.753 -2.0
@ob02927 09:58:01.3091 +02:22:16.753 -2.0
@ob00155 09:58:42.6823 +02:22:16.218 -2.0
@ob02928 09:58:42.8158 +02:22:20.218 -2.0
@ob00156 09:58:09.5815 +02:14:12.846 -2.0
@ob02929 09:58:09.7149 +02:14:16.846 -2.0
@ob00157 09:58:40.8110 +02:26:15.485 -2.0
@ob02930 09:58:40.9445 +02:26:19.485 -2.0
@ob00158 09:58:06.0956 +02:19:12.762 -2.0
@ob02931 09:58:06.2290 +02:19:16.762 -2.0
@ob00159 09:58:08.0065 +02:01:56.491 -2.0
@ob02932 09:58:08.1399 +02:02:00.491 -2.0
@ob00160 09:58:48.3690 +02:14:56.595 -2.0
@ob02933 09:58:48.5025 +02:15:00.595 -2.0
@ob00161 09:58:56.4812 +02:10:41.431 -2.0
@ob02934 09:58:56.6146 +02:10:45.431 -2.0
@ob00162 09:58:07.9579 +02:15:13.714 -2.0
@ob02935 09:58:08.0914 +02:15:17.714 -2.0
@ob00163 09:58:08.3253 +02:17:18.477 -2.0
@ob02936 09:58:08.4587 +02:17:22.477 -2.0
@ob00164 09:57:54.2094 +02:12:52.057 -2.0
@ob02937 09:57:54.3428 +02:12:56.057 -2.0
@ob00165 09:58:28.1866 +02:14:03.242 -2.0
@ob02938 09:58:28.3200 +02:14:07.242 -2.0
@ob00166 09:58:40.0532 +02:07:57.816 -2.0
@ob02939 09:58:40.1866 +02:08:01.816 -2.0
@ob00167 09:58:49.5477 +02:14:01.395 -2.0
@ob02940 09:58:49.6812 +02:14:05.395 -2.0
@ob00168 09:59:04.2128 +02:19:28.681 -2.0
@ob02941 09:59:04.3462 +02:19:32.681 -2.0
@ob00169 09:58:46.7048 +02:03:34.262 -2.0
@ob02942 09:58:46.8382 +02:03:38.262 -2.0
@ob00170 09:58:15.5820 +02:25:43.043 -2.0
@ob02943 09:58:15.7155 +02:25:47.043 -2.0
@ob00171 09:58:15.5416 +02:17:12.794 -2.0
@ob02944 09:58:15.6750 +02:17:16.794 -2.0
@ob00172 09:58:51.5065 +02:11:27.595 -2.0
@ob02945 09:58:51.6399 +02:11:31.595 -2.0
@ob00173 09:58:28.5781 +02:06:29.999 -2.0
@ob02946 09:58:28.7115 +02:06:33.999 -2.0
@ob00174 09:58:51.6301 +02:12:56.309 -2.0
@ob02947 09:58:51.7636 +02:13:00.309 -2.0
@ob00175 09:58:33.7949 +02:12:44.250 -2.0
@ob02948 09:58:33.9283 +02:12:48.250 -2.0
@ob00176 09:58:29.9344 +02:25:13.271 -2.0
@ob02949 09:58:30.0678 +02:25:17.271 -2.0
@ob00177 09:58:49.0993 +02:23:53.415 -2.0
@ob02950 09:58:49.2328 +02:23:57.415 -2.0
@ob00178 09:58:35.9104 +02:12:33.493 -2.0
@ob02951 09:58:36.0438 +02:12:37.493 -2.0
@ob00179 09:58:49.2785 +02:16:04.424 -2.0
@ob02952 09:58:49.4119 +02:16:08.424 -2.0
@ob00180 09:58:51.0688 +02:15:48.766 -2.0
@ob02953 09:58:51.2022 +02:15:52.766 -2.0
@ob00181 09:58:37.8177 +02:21:04.120 -2.0
@ob02954 09:58:37.9512 +02:21:08.120 -2.0
@ob00182 09:58:24.4469 +02:24:27.745 -2.0
@ob02955 09:58:24.5803 +02:24:31.745 -2.0
@ob00183 09:58:29.3752 +02:14:52.495 -2.0
@ob02956 09:58:29.5087 +02:14:56.495 -2.0
@ob00184 09:58:23.6290 +02:12:11.054 -2.0
@ob02957 09:58:23.7624 +02:12:15.054 -2.0
@ob00185 09:59:27.4794 +02:18:07.600 -2.0
@ob02958 09:59:27.6129 +02:18:11.600 -2.0
@ob00186 09:58:24.2565 +02:00:24.940 -2.0
@ob02959 09:58:24.3899 +02:00:28.940 -2.0
@ob00187 09:58:29.9419 +02:13:09.856 -2.0
@ob02960 09:58:30.0753 +02:13:13.856 -2.0
@ob00188 09:58:53.8000 +02:14:23.956 -2.0
@ob02961 09:58:53.9334 +02:14:27.956 -2.0
@ob00189 09:58:20.4184 +02:02:52.171 -2.0
@ob02962 09:58:20.5518 +02:02:56.171 -2.0
@ob00190 09:59:10.4157 +02:08:58.597 -2.0
@ob02963 09:59:10.5491 +02:09:02.597 -2.0
@ob00191 09:58:08.3911 +02:05:18.809 -2.0
@ob02964 09:58:08.5245 +02:05:22.809 -2.0
@ob00192 09:58:40.1579 +02:23:18.984 -2.0
@ob02965 09:58:40.2913 +02:23:22.984 -2.0
@ob00193 09:58:35.3599 +02:26:39.036 -2.0
@ob02966 09:58:35.4934 +02:26:43.036 -2.0
@ob00194 09:58:39.1697 +02:13:13.698 -2.0
@ob02967 09:58:39.3031 +02:13:17.698 -2.0
@ob00195 09:58:16.5056 +02:00:28.454 -2.0
@ob02968 09:58:16.6390 +02:00:32.454 -2.0
@ob00196 09:58:10.1699 +02:01:49.295 -2.0
@ob02969 09:58:10.3033 +02:01:53.295 -2.0
@ob00197 09:58:21.0101 +02:20:35.383 -2.0
@ob02970 09:58:21.1436 +02:20:39.383 -2.0
@ob00198 09:58:32.7371 +02:23:02.931 -2.0
@ob02971 09:58:32.8706 +02:23:06.931 -2.0
@ob00199 09:58:13.6956 +02:18:29.248 -2.0
@ob02972 09:58:13.8290 +02:18:33.248 -2.0
@ob00200 09:58:44.0383 +02:16:14.168 -2.0
@ob02973 09:58:44.1718 +02:16:18.168 -2.0
@ob00201 09:58:55.1248 +02:14:35.602 -2.0
@ob02974 09:58:55.2583 +02:14:39.602 -2.0
@ob00202 09:58:12.5112 +02:11:10.682 -2.0
@ob02975 09:58:12.6447 +02:11:14.682 -2.0
@ob00203 09:58:43.0534 +02:25:58.872 -2.0
@ob02976 09:58:43.1869 +02:26:02.872 -2.0
@ob00204 09:58:34.0186 +02:13:20.415 -2.0
@ob02977 09:58:34.1520 +02:13:24.415 -2.0
@ob00205 09:58:41.5480 +02:15:10.089 -2.0
@ob02978 09:58:41.6814 +02:15:14.089 -2.0
@ob00206 09:58:17.5269 +02:21:17.328 -2.0
@ob02979 09:58:17.6604 +02:21:21.328 -2.0
@ob00207 09:58:33.8098 +02:16:34.662 -2.0
@ob02980 09:58:33.9432 +02:16:38.662 -2.0
@ob00208 09:58:26.5965 +02:19:20.206 -2.0
@ob02981 09:58:26.7299 +02:19:24.206 -2.0
@ob00209 09:58:37.4452 +02:23:22.659 -2.0
@ob02982 09:58:37.5786 +02:23:26.659 -2.0
@ob00210 09:58:14.7534 +02:08:37.348 -2.0
@ob02983 09:58:14.8868 +02:08:41.348 -2.0
@ob00211 09:58:05.8730 +02:24:10.829 -2.0
